total        5697     0  4.769e-02  5.755e-01  0.000e+00  1.514e-01 -3.157e-02  1.188e-02 
total        5698     1  9.446e-02  5.666e-01  0.000e+00  2.008e-01  1.312e-02 -5.177e-02 
total        5699     2  1.030e-01  4.649e-01  0.000e+00  2.336e-01 -6.432e-02  2.600e-03 
total        5700     3  1.564e-01  5.019e-01  0.000e+00  1.766e-01 -9.508e-03  1.290e-02 
select       5697     0  4.769e-02  5.755e-01  0.000e+00  1.514e-01 -3.157e-02  1.188e-02 
select       5698     1  9.446e-02  5.666e-01  0.000e+00  2.008e-01  1.312e-02 -5.177e-02 
select       5699     2  1.030e-01  4.649e-01  0.000e+00  2.336e-01 -6.432e-02  2.600e-03 
select       5700     3  1.564e-01  5.019e-01  0.000e+00  1.766e-01 -9.508e-03  1.290e-02 
final        5697     0  4.769e-02  5.755e-01  0.000e+00  1.514e-01 -3.157e-02  1.188e-02 
final        5698     1  9.446e-02  5.666e-01  0.000e+00  2.008e-01  1.312e-02 -5.177e-02 
final        5699     2  1.030e-01  4.649e-01  0.000e+00  2.336e-01 -6.432e-02  2.600e-03 
final        5700     3  1.564e-01  5.019e-01  0.000e+00  1.766e-01 -9.508e-03  1.290e-02 
