total        5745     0  2.408e-03  4.108e-01  0.000e+00  1.890e-01  4.244e-02  1.137e-02 
total        5746     1  1.423e-01  5.593e-01  0.000e+00  2.160e-01 -9.572e-03 -6.817e-02 
total        5747     2  1.238e-01  5.717e-01  0.000e+00  1.738e-01  5.554e-02  1.593e-02 
total        5748     3  1.704e-01  5.740e-01  0.000e+00  1.855e-01 -4.326e-02  3.927e-02 
total        5749     4  8.885e-02  4.075e-01  0.000e+00  2.249e-01 -3.310e-02  2.407e-02 
total        5750     5  1.826e-02  4.205e-01  0.000e+00  2.223e-01 -4.688e-03 -1.461e-02 
select       5745     0  2.408e-03  4.108e-01  0.000e+00  1.890e-01  4.244e-02  1.137e-02 
select       5746     1  1.423e-01  5.593e-01  0.000e+00  2.160e-01 -9.572e-03 -6.817e-02 
select       5747     2  1.238e-01  5.717e-01  0.000e+00  1.738e-01  5.554e-02  1.593e-02 
select       5748     3  1.704e-01  5.740e-01  0.000e+00  1.855e-01 -4.326e-02  3.927e-02 
select       5749     4  8.885e-02  4.075e-01  0.000e+00  2.249e-01 -3.310e-02  2.407e-02 
select       5750     5  1.826e-02  4.205e-01  0.000e+00  2.223e-01 -4.688e-03 -1.461e-02 
final        5745     0  2.408e-03  4.108e-01  0.000e+00  1.890e-01  4.244e-02  1.137e-02 
final        5746     1  1.423e-01  5.593e-01  0.000e+00  2.160e-01 -9.572e-03 -6.817e-02 
final        5747     2  1.238e-01  5.717e-01  0.000e+00  1.738e-01  5.554e-02  1.593e-02 
final        5748     3  1.704e-01  5.740e-01  0.000e+00  1.855e-01 -4.326e-02  3.927e-02 
final        5749     4  8.885e-02  4.075e-01  0.000e+00  2.249e-01 -3.310e-02  2.407e-02 
final        5750     5  1.826e-02  4.205e-01  0.000e+00  2.223e-01 -4.688e-03 -1.461e-02 
