total        5725     0  1.375e-01  5.639e-01  0.000e+00  1.634e-01  7.321e-03 -3.314e-02 
total        5726     1  1.744e-01  5.747e-01  0.000e+00  2.085e-01 -1.816e-02  5.886e-03 
total        5727     2  1.256e-01  5.696e-01  0.000e+00  2.431e-01 -3.225e-02  5.022e-03 
total        5728     3  8.635e-02  5.071e-01  0.000e+00  2.002e-01  4.865e-02  2.460e-02 
total        5729     4  5.827e-02  5.106e-01  0.000e+00  1.892e-01 -7.159e-03 -2.871e-03 
total        5730     5  1.731e-01  5.929e-01  0.000e+00  2.173e-01  1.932e-02 -6.952e-03 
total        5731     6  1.615e-01  5.291e-01  0.000e+00  1.878e-01 -2.531e-02 -6.115e-02 
select       5725     0  1.375e-01  5.639e-01  0.000e+00  1.634e-01  7.321e-03 -3.314e-02 
select       5726     1  1.744e-01  5.747e-01  0.000e+00  2.085e-01 -1.816e-02  5.886e-03 
select       5727     2  1.256e-01  5.696e-01  0.000e+00  2.431e-01 -3.225e-02  5.022e-03 
select       5728     3  8.635e-02  5.071e-01  0.000e+00  2.002e-01  4.865e-02  2.460e-02 
select       5729     4  5.827e-02  5.106e-01  0.000e+00  1.892e-01 -7.159e-03 -2.871e-03 
select       5730     5  1.731e-01  5.929e-01  0.000e+00  2.173e-01  1.932e-02 -6.952e-03 
select       5731     6  1.615e-01  5.291e-01  0.000e+00  1.878e-01 -2.531e-02 -6.115e-02 
final        5725     0  1.375e-01  5.639e-01  0.000e+00  1.634e-01  7.321e-03 -3.314e-02 
final        5726     1  1.744e-01  5.747e-01  0.000e+00  2.085e-01 -1.816e-02  5.886e-03 
final        5727     2  1.256e-01  5.696e-01  0.000e+00  2.431e-01 -3.225e-02  5.022e-03 
final        5728     3  8.635e-02  5.071e-01  0.000e+00  2.002e-01  4.865e-02  2.460e-02 
final        5729     4  5.827e-02  5.106e-01  0.000e+00  1.892e-01 -7.159e-03 -2.871e-03 
final        5730     5  1.731e-01  5.929e-01  0.000e+00  2.173e-01  1.932e-02 -6.952e-03 
final        5731     6  1.615e-01  5.291e-01  0.000e+00  1.878e-01 -2.531e-02 -6.115e-02 
