total        5732     0  1.044e-01  5.249e-01  0.000e+00  2.672e-01 -1.232e-02  2.862e-02 
total        5733     1  5.309e-02  4.639e-01  0.000e+00  2.276e-01 -6.838e-03 -4.588e-02 
total        5734     2  1.628e-01  5.677e-01  0.000e+00  2.061e-01  4.267e-02 -5.576e-02 
total        5735     3  1.189e-01  5.945e-01  0.000e+00  1.559e-01 -7.518e-02 -1.126e-02 
total        5736     4  1.463e-03  5.330e-01  0.000e+00  1.394e-01  4.603e-02  3.922e-02 
select       5732     0  1.044e-01  5.249e-01  0.000e+00  2.672e-01 -1.232e-02  2.862e-02 
select       5733     1  5.309e-02  4.639e-01  0.000e+00  2.276e-01 -6.838e-03 -4.588e-02 
select       5734     2  1.628e-01  5.677e-01  0.000e+00  2.061e-01  4.267e-02 -5.576e-02 
select       5735     3  1.189e-01  5.945e-01  0.000e+00  1.559e-01 -7.518e-02 -1.126e-02 
select       5736     4  1.463e-03  5.330e-01  0.000e+00  1.394e-01  4.603e-02  3.922e-02 
final        5732     0  1.044e-01  5.249e-01  0.000e+00  2.672e-01 -1.232e-02  2.862e-02 
final        5733     1  5.309e-02  4.639e-01  0.000e+00  2.276e-01 -6.838e-03 -4.588e-02 
final        5734     2  1.628e-01  5.677e-01  0.000e+00  2.061e-01  4.267e-02 -5.576e-02 
final        5735     3  1.189e-01  5.945e-01  0.000e+00  1.559e-01 -7.518e-02 -1.126e-02 
final        5736     4  1.463e-03  5.330e-01  0.000e+00  1.394e-01  4.603e-02  3.922e-02 
