total        5707     0  1.568e-01  4.275e-01  0.000e+00  2.334e-01 -1.352e-02 -3.014e-03 
total        5708     1  6.061e-02  5.494e-01  0.000e+00  1.624e-01  3.902e-02  1.459e-02 
total        5709     2  1.473e-01  4.972e-01  0.000e+00  2.081e-01 -7.602e-03  2.554e-02 
total        5710     3  3.617e-02  5.680e-01  0.000e+00  2.299e-01 -1.417e-02  9.368e-03 
total        5711     4  1.454e-01  4.211e-01  0.000e+00  2.037e-01 -8.542e-03  4.366e-02 
select       5707     0  1.568e-01  4.275e-01  0.000e+00  2.334e-01 -1.352e-02 -3.014e-03 
select       5708     1  6.061e-02  5.494e-01  0.000e+00  1.624e-01  3.902e-02  1.459e-02 
select       5709     2  1.473e-01  4.972e-01  0.000e+00  2.081e-01 -7.602e-03  2.554e-02 
select       5710     3  3.617e-02  5.680e-01  0.000e+00  2.299e-01 -1.417e-02  9.368e-03 
select       5711     4  1.454e-01  4.211e-01  0.000e+00  2.037e-01 -8.542e-03  4.366e-02 
final        5707     0  1.568e-01  4.275e-01  0.000e+00  2.334e-01 -1.352e-02 -3.014e-03 
final        5708     1  6.061e-02  5.494e-01  0.000e+00  1.624e-01  3.902e-02  1.459e-02 
final        5709     2  1.473e-01  4.972e-01  0.000e+00  2.081e-01 -7.602e-03  2.554e-02 
final        5710     3  3.617e-02  5.680e-01  0.000e+00  2.299e-01 -1.417e-02  9.368e-03 
final        5711     4  1.454e-01  4.211e-01  0.000e+00  2.037e-01 -8.542e-03  4.366e-02 
