total        5701     0  9.044e-02  5.334e-01  0.000e+00  2.256e-01  5.346e-03  4.147e-02 
total        5702     1  1.173e-01  5.298e-01  0.000e+00  2.252e-01  1.608e-02 -1.570e-02 
total        5703     2  6.916e-02  5.892e-01  0.000e+00  1.840e-01  1.157e-02 -2.552e-02 
total        5704     3  1.418e-01  4.973e-01  0.000e+00  1.637e-01 -1.697e-02  2.409e-02 
total        5705     4  5.848e-02  5.790e-01  0.000e+00  2.843e-01  1.627e-02 -4.233e-02 
total        5706     5  1.163e-01  4.307e-01  0.000e+00  1.866e-01 -9.454e-03 -7.801e-03 
select       5701     0  9.044e-02  5.334e-01  0.000e+00  2.256e-01  5.346e-03  4.147e-02 
select       5702     1  1.173e-01  5.298e-01  0.000e+00  2.252e-01  1.608e-02 -1.570e-02 
select       5703     2  6.916e-02  5.892e-01  0.000e+00  1.840e-01  1.157e-02 -2.552e-02 
select       5704     3  1.418e-01  4.973e-01  0.000e+00  1.637e-01 -1.697e-02  2.409e-02 
select       5705     4  5.848e-02  5.790e-01  0.000e+00  2.843e-01  1.627e-02 -4.233e-02 
select       5706     5  1.163e-01  4.307e-01  0.000e+00  1.866e-01 -9.454e-03 -7.801e-03 
final        5701     0  9.044e-02  5.334e-01  0.000e+00  2.256e-01  5.346e-03  4.147e-02 
final        5702     1  1.173e-01  5.298e-01  0.000e+00  2.252e-01  1.608e-02 -1.570e-02 
final        5703     2  6.916e-02  5.892e-01  0.000e+00  1.840e-01  1.157e-02 -2.552e-02 
final        5704     3  1.418e-01  4.973e-01  0.000e+00  1.637e-01 -1.697e-02  2.409e-02 
final        5705     4  5.848e-02  5.790e-01  0.000e+00  2.843e-01  1.627e-02 -4.233e-02 
final        5706     5  1.163e-01  4.307e-01  0.000e+00  1.866e-01 -9.454e-03 -7.801e-03 
